all_ling_corr,sim,CO2_ling_corr,SNP_ling_corr,none_ling_corr
.39354366,1,.31651494,.3453297,.31501272
.39153275,2,.31268817,.34359396,.31099471
.38075757,3,.31147534,.33733019,.31172246
.39228141,4,.3105163,.34625661,.31052628
.38419169,5,.31041691,.33852071,.30868247
.37941894,6,.30842558,.33158347,.30907238
.38722259,7,.31326613,.33272052,.31271845
.3893809,8,.31154063,.33988628,.31141111
.38450947,9,.30814731,.33440095,.30900976
.38198534,10,.30924779,.3298254,.31055245
.39073676,11,.31283185,.3425571,.31142133
.39715719,12,.31516942,.33981988,.3140119
.39192292,13,.31424901,.34131837,.31270486
.39822942,14,.31589669,.34451506,.31328613
.38779432,15,.31106061,.33848172,.31194329
.3909055,16,.31298402,.35391322,.31275609
.39671972,17,.316039,.34583843,.31569949
.39073479,18,.31672066,.35174131,.31562304
.38921651,19,.31420076,.34020624,.31234816
.38687798,20,.30999982,.32826829,.30991656
.40014783,21,.31697497,.34767124,.31548241
.39513129,22,.31483403,.34341294,.31447434
.37677065,23,.3036088,.30740494,.30635747
.39650232,24,.3147476,.3433322,.31300113
.39327261,25,.31236905,.34282446,.31206697
.39031076,26,.31488916,.35522431,.31497777
.38691142,27,.31350282,.34697548,.31251088
.39455673,28,.31693473,.34251067,.31274125
.39212996,29,.31554198,.34960759,.3157635
.38500842,30,.30912927,.3299363,.30968127
.3818624,31,.31090757,.32833821,.31143028
.38170332,32,.30789548,.31483191,.30749363
.39226615,33,.3130309,.34141985,.31344423
.38792408,34,.31080744,.34029368,.31092402
.3979373,35,.31713703,.34887734,.31633824
.38691333,36,.311351,.33675131,.31236771
.38265362,37,.30707228,.32301971,.30765492
.38951594,38,.31482688,.34961149,.31548187
.39301732,39,.31470549,.34703621,.3128463
.39346156,40,.31287336,.33928019,.31270048
.39086944,41,.31281,.33784714,.31147105
.39874297,42,.31671959,.35193777,.3155854
.39030141,43,.31031489,.33310169,.30994725
.40018433,44,.31735894,.34536675,.31572068
.40219635,45,.31755489,.35033554,.31684977
.38836241,46,.31156346,.34012154,.31167045
.38643533,47,.31144378,.33466586,.31108716
.38209349,48,.31101754,.33430716,.31190473
.38533181,49,.31182837,.34267601,.31138504
.39290708,50,.31519398,.35527194,.31337205
.39374655,51,.31614938,.35425097,.31397164
.38941434,52,.31530973,.34987542,.31502292
.39055219,53,.3127304,.34323698,.3126508
.39001271,54,.31419313,.34326547,.31399289
.39552891,55,.31426799,.34588271,.31342801
.39530006,56,.31499276,.34912226,.31483403
