all_pov_corr,sim,CO2_pov_corr,SNP_pov_corr,none_pov_corr
-.12591125,1,-.2034158,-.14140534,-.202755
-.14861099,2,-.20825811,-.16431095,-.2095691
-.18142168,3,-.21656376,-.19708709,-.2154772
-.15898699,4,-.20965233,-.17435023,-.21162508
-.15343611,5,-.2104722,-.17107958,-.21090756
-.17588241,6,-.21583547,-.19158822,-.21562044
-.16634201,7,-.21084529,-.18698454,-.21205091
-.16014433,8,-.21149179,-.17831339,-.21054226
-.16204341,9,-.211941,-.17948313,-.21189025
-.16114607,10,-.21258289,-.18671693,-.21157597
-.14395739,11,-.20874344,-.1554386,-.2079974
-.14386106,12,-.205832,-.1559332,-.20842864
-.14281425,13,-.20860732,-.16748905,-.20959654
-.14277703,14,-.20613256,-.16001022,-.20727707
-.15735403,15,-.21046129,-.1781068,-.21014085
-.1531792,16,-.21019156,-.15772571,-.20801841
-.13406225,17,-.20576519,-.14237641,-.20264201
-.14601503,18,-.20800392,-.15229078,-.20897135
-.15853912,19,-.20883679,-.1773233,-.21017165
-.15459485,20,-.20974323,-.18125249,-.20989314
-.1422479,21,-.20474204,-.14787264,-.20560746
-.1492545,22,-.20701011,-.16428365,-.20708995
-.18239065,23,-.21445747,-.22842479,-.21345717
-.14354359,24,-.20457494,-.16138949,-.20478059
-.14324337,25,-.20834337,-.16721831,-.20869839
-.15281425,26,-.20947866,-.15510419,-.20926763
-.15680282,27,-.21038228,-.16563474,-.20851012
-.13492373,28,-.20539565,-.13940509,-.20608856
-.15283029,29,-.20959473,-.1598468,-.20913529
-.16258667,30,-.21094972,-.18591498,-.21165206
-.16715562,31,-.21283098,-.18554051,-.21296199
-.17719337,32,-.21127594,-.2213476,-.21242242
-.16569746,33,-.21011823,-.18513796,-.20908046
-.1577754,34,-.21082589,-.175427,-.21061347
-.1437114,35,-.20611857,-.15053566,-.20602274
-.16133648,36,-.21151781,-.17899653,-.21141326
-.17059588,37,-.21222906,-.20492938,-.21219662
-.14075825,38,-.20685296,-.13900039,-.2059662
-.13076691,39,-.20483969,-.14776774,-.20516519
-.14461234,40,-.20892504,-.16266249,-.20846048
-.1407325,41,-.20672143,-.16203298,-.20697096
-.14274588,42,-.20780118,-.14849466,-.20840941
-.16125369,43,-.2121066,-.18085623,-.21306011
-.14072733,44,-.2050861,-.16067135,-.20622462
-.1499238,45,-.206966,-.15235026,-.20635651
-.16097377,46,-.2122598,-.17155062,-.21070945
-.1534134,47,-.21190219,-.1761732,-.21072797
-.16118594,48,-.21184029,-.18108836,-.21088193
-.15105276,49,-.20918848,-.17100796,-.20930438
-.13344166,50,-.20416413,-.13573422,-.20540327
-.14149088,51,-.20834886,-.13537154,-.20787109
-.1437313,52,-.2082523,-.14086559,-.20835447
-.15128796,53,-.20894085,-.16558768,-.20991385
