all_race_corr,sim,CO2_race_corr,SNP_race_corr,none_race_corr
.46496621,1,.39676553,.42716208,.39619014
.46718764,2,.39454237,.43109691,.39413947
.46486461,3,.39528745,.43305534,.39606863
.47095978,4,.39309588,.43750203,.39427981
.46208489,5,.39316952,.42830971,.39232045
.46122336,6,.39285991,.4255951,.39404237
.46621343,7,.39646462,.42558768,.39723554
.46735945,8,.394126,.43077806,.39450598
.46273553,9,.39152285,.42495045,.39310315
.45819682,10,.39104968,.42103365,.39276356
.46616453,11,.39477208,.42787582,.39392403
.47012144,12,.3959305,.42435834,.39603922
.46653572,13,.39547193,.42957464,.39497173
.47205186,14,.39680856,.43121228,.39539447
.46500191,15,.39359009,.42914537,.39503565
.4707365,16,.39609027,.44073555,.39603269
.46885034,17,.39640132,.42828414,.396106
.46994999,18,.39962897,.43814558,.39939827
.46647021,19,.39574477,.43050021,.39512759
.46002147,20,.39175564,.41849312,.39239207
.47425276,21,.39759699,.43180954,.39692891
.47005135,22,.39613196,.43063414,.3964873
.45056036,23,.38467541,.40369591,.38789144
.46922478,24,.39534247,.42983732,.3945072
.4671244,25,.39369518,.43096033,.39418995
.47075337,26,.39812419,.44268909,.39884421
.46625185,27,.39666224,.43609414,.3959921
.46758452,28,.39760509,.42353466,.39409092
.47174171,29,.39818189,.43797588,.39892983
.46170911,30,.39142868,.42128482,.39266431
.46121928,31,.39443019,.41972804,.39569369
.45705199,32,.38938126,.41229102,.39040279
.47074595,33,.3952969,.43353888,.39646912
.46598908,34,.39412451,.43022719,.39510036
.47415826,35,.39872584,.43441129,.39879057
.46546715,36,.3945961,.42825845,.39628938
.4595989,37,.38962489,.41725388,.39063671
.46827382,38,.39789593,.4329882,.39895082
.46631792,39,.39637545,.4305388,.39542028
.46702605,40,.39441156,.42495227,.39499435
.46435383,41,.39469701,.42412537,.39440742
.4754726,42,.39900672,.43660218,.39880651
.46643448,43,.3927477,.42339265,.39335096
.47196123,44,.39750621,.43081123,.39734137
.4786298,45,.39852223,.43613255,.39844084
.46730834,46,.39389873,.42983362,.39445478
.46275297,47,.39448938,.42494661,.39482436
.46065083,48,.39354843,.42448363,.39497113
.46249905,49,.39425316,.43237448,.39435798
.4698275,50,.39786547,.43783161,.3966248
.4721649,51,.39894891,.43595707,.39750525
.46869466,52,.398763,.43349737,.39888528
.46820381,53,.39571351,.43198404,.39666525
.46874818,54,.39639834,.43178588,.39696208
.47167528,55,.39633074,.42959166,.39614096
.47165287,56,.39702782,.43285647,.39749897
.46725953,57,.39295501,.42880222,.3930648
.46952996,58,.39743185,.44296822,.39828727
.46975127,59,.39848888,.43278664,.39801702
.47192705,60,.39826846,.43619695,.39871204
.46593669,61,.39821112,.42772874,.39673918
.47029802,62,.40042454,.431391,.39858219
.46578702,63,.3925496,.42254364,.39350668
.45897666,64,.38940999,.42039949,.39095074
.45937693,65,.39293852,.42425954,.39519396
.4635582,66,.3914066,.42058095,.39337903
.45714197,67,.39167318,.41367146,.3938354
.47108427,68,.39948234,.43663424,.39968374
.46689829,69,.39574149,.4272784,.39515808
.46137187,70,.39570025,.43071455,.39607176
.46736047,71,.39694694,.42849043,.3957001
.47006166,72,.39586231,.42819756,.39686334
.46694079,73,.39355636,.43192568,.39553249
.45895731,74,.38824657,.41464269,.38956439
.46849284,75,.39509299,.42970049,.3952195
.4718022,76,.39571893,.42745334,.39565438
.47061256,77,.39434418,.43015417,.39360932
.47053483,78,.39564386,.43074059,.3968136
.47036144,79,.39897028,.43590492,.39779636
.46815428,80,.39553276,.42231947,.39674461
.46486309,81,.39362103,.43158624,.39411929
.46386456,82,.39445785,.42666087,.39590359
.4698936,83,.39408785,.42784432,.39347342
.46618184,84,.39391696,.42337477,.3945398
.46129146,85,.39323446,.4264279,.39444289
.47053578,86,.39607689,.43194613,.39653644
.4644672,87,.39824504,.43196577,.39676639
.4656578,88,.39344537,.42717397,.39310127
.46679112,89,.39471599,.4315438,.39546782
.46776611,90,.39699164,.44181839,.39766577
.46924394,91,.39647439,.4360213,.39564976
.46612495,92,.3968859,.43603811,.39648044
.46715963,93,.39412367,.43509203,.39424449
.46714833,94,.3944068,.43161345,.39526725
.47342101,95,.39718401,.44238919,.39808044
.47331882,96,.39581245,.43623236,.39586633
.47152162,97,.39741728,.43172508,.39860705
.46150357,98,.39169046,.42033648,.39283425
.46806407,99,.39663026,.43324825,.39539677
.46832314,100,.39658952,.44112551,.39537388
.47052491,101,.39776635,.44024879,.39863417
.46868902,102,.39548483,.43067142,.39501229
.46991178,103,.39628562,.43252695,.395246
.46592745,104,.39273104,.42755255,.3934471
.47287807,105,.39513573,.43213049,.39627692
.46465334,106,.39345711,.42726931,.39456329
.46500561,107,.39588001,.43421474,.39544243
.46580395,108,.39313543,.42976663,.39307004
.46091089,109,.39280725,.42358375,.39378023
.47345096,110,.39588186,.43521369,.39561284
