Site1,Site2,Site3,Site4,Site5,Site6,Site7
4803.293954723911,5070.724842789349,5116.499921360763,5779.11568992063,5159.128056078437,5747.522307652479,5663.866459448755
4764.965699887349,4981.032330862765,5070.29460442265,5833.980033635687,5117.570903441106,5794.379818247983,5718.316206984124
4800.910436909598,5008.405318574533,5192.910422262022,5803.262605602857,5254.925505367847,5745.867898915543,5668.83112548549
4974.405711409575,5153.140243693158,5272.5565919791525,5948.730616831312,5326.7141646809305,5913.378167863365,5815.366279082239
4800.910436909598,5008.405318574533,5192.910422262022,5803.262605602857,5254.925505367847,5745.867898915543,5668.83112548549
4869.524380026489,5015.323572810042,5113.1742871500555,5787.670810821807,5117.938933444036,5801.645441919178,5685.516931993057
4758.993993409501,4957.619003076012,5131.474210052994,5830.519181287101,5218.018864132933,5801.1998758736945,5723.763956453887
5054.598596488945,5105.303417702043,5141.071503756741,5819.38387572319,5140.1335319619475,5812.790275751292,5671.785821671248
4915.520330204583,5090.158912417815,5123.078460940582,5855.942295450816,5163.293144675301,5785.822344905738,5708.988318196727
5021.097199016634,5193.4874635755405,5306.250833077437,5878.691649601563,5293.039784869264,5840.7263333550745,5732.478813213079
4896.7483734187845,5041.502028968892,5260.511836217198,5906.784654915693,5235.885566434481,5881.079360985277,5740.322893105276
4903.425652612121,5082.100480340509,5191.120949169126,5854.229046509916,5236.130565105875,5836.372155474325,5753.033650978331
4936.504403208082,5120.231732080343,5281.509685659213,5885.996235306777,5259.027540015404,5812.738871557127,5739.026372758735
4828.435979475027,5014.553387252969,5135.491541472942,5829.564805880274,5190.157571026566,5814.002178614304,5698.240127846294
4803.293954723911,5070.724842789349,5116.499921360763,5779.11568992063,5159.128056078437,5747.522307652479,5663.866459448755
4859.093691060969,4992.430899270685,5035.355389984062,5799.026339621998,5211.906914043899,5801.024349127122,5749.67178577606
4938.377783454137,5085.0789805845725,5251.312648111799,5912.145676482089,5335.30795527628,5865.330004163051,5791.189228046879
4842.866954526662,5011.934017226672,5135.024659214683,5890.3628229389615,5261.437587034978,5859.431653242073,5755.016062612057
4862.736720309272,5036.934302773054,5164.83337891015,5877.700948380989,5256.956879160956,5804.537400466283,5730.90242298445
4830.950480205855,4946.659149930062,5049.606998314597,5742.216766450252,5135.454335704721,5723.331697290486,5669.00723280171
4958.839492093753,5117.049220713213,5255.075878739169,5894.456379512718,5245.117030737559,5815.717489013039,5717.541961639954
4883.7459412067155,5034.319513880196,5133.249744737289,5804.049228455282,5021.276969249039,5747.378680716727,5659.2340076084
4883.7459412067155,5034.319513880196,5133.249744737289,5804.049228455282,5021.276969249039,5747.378680716727,5659.2340076084
4830.950480205855,4946.659149930062,5049.606998314597,5742.216766450252,5135.454335704721,5723.331697290486,5669.00723280171
4764.965699887349,4981.032330862765,5070.29460442265,5833.980033635687,5117.570903441106,5794.379818247983,5718.316206984124
5054.598596488945,5105.303417702043,5141.071503756741,5819.38387572319,5140.1335319619475,5812.790275751292,5671.785821671248
4938.377783454137,5085.0789805845725,5251.312648111799,5912.145676482089,5335.30795527628,5865.330004163051,5791.189228046879
4758.993993409501,4957.619003076012,5131.474210052994,5830.519181287101,5218.018864132933,5801.1998758736945,5723.763956453887
4828.435979475027,5014.553387252969,5135.491541472942,5829.564805880274,5190.157571026566,5814.002178614304,5698.240127846294
4807.060111010583,5019.370025132111,5238.641226628635,5882.208901064875,5227.125705356539,5825.18412341504,5697.345570407487
4788.8334549487445,4942.384057621936,5086.194767972276,5810.767060602482,5171.90381827735,5728.574928868483,5674.878020774112
4836.648186982898,5040.708704554494,5204.067737530819,5839.423240829905,5188.474510866689,5795.640014813504,5709.815264612832
4857.393335564856,5069.888716097556,5150.981856978209,5868.942185105909,5255.4172543224395,5812.064608556604,5729.078535457433
