Station ID,Variables,Latitude,Longitude
USW00024232,Wind,44.9,-123
USW00024221,Wind,44.12,-123.21
USW00024233,Wind,47.45,-122.3
USW00024131,Wind,43.56,-116.22
USW00024242,Wind,45.45,-122.39
USW00024157,Wind,47.61,-117.53
USW00024163,Wind,46.26,-119.11
USW00093193,Wind,36.77,-119.71
USW00023230,Wind,37.71,-122.21
USW00023174,Wind,33.94,-118.4
USW00023188,Wind,32.73,-117.19
USW00023232,Wind,38.51,-121.49
USW00023293,Wind,37.33,-121.88
USW00023234,Wind,37.62,-122.37
USW00023160,Wind,32.11,-110.93
USW00023183,Wind,33.43,-112
USW00053123,Wind,36.21,-115.91
NSRDB 154166,Irradiance,40.45,-121.66
NSRDB 13631,Irradiance,38.57,-121.7
NSRDB 111895,Irradiance,36.81,-119.38
NSRDB 93873,Irradiance,35.09,-117.3
NSRDB 83553,Irradiance,34.05,-118.38
NSRDB 82442,Irradiance,33.93,-115.9
NSRDB 77068,Irradiance,33.33,-114.7
